Category,SubCategory,CatID,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw
AIR,BLOW,AIRBlow,"compressed air, depressurise, release, puff, sputter, flutter",气体,吹,"压缩空气,减压,释放,吹气,溅射,颤动",氣體,吹,"壓縮空氣,減壓,釋放,吹氣,濺射,顫動"
AIR,BURST,AIRBrst,"air blast, air poof, chuff, spurt, blast",气体,爆发/喷射,"空气爆炸,空气噗噗,chuff,喷射,爆炸",氣體,爆噴,"空氣爆炸,空氣噗噗,chuff,噴射,爆炸"
AIR,HISS,AIRHiss,"air release, exhaust, expel",气体,嘶嘶声,"空气释放,排气,排出",氣體,嘶嘶聲,"空氣釋放,排氣,排出"
AIR,MISC,AIRMisc,miscellaneous,气体,杂项,各种各样的,氣體,其他,各種各樣的
AIR,SUCTION,AIRSuck,"vacuum, suck, suction",气体,抽吸,"真空,吸,吸",氣體,抽吸,"真空,吸,吸"
AIRCRAFT,HELICOPTER,AEROHeli,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper",航空器,直升机,"旋翼机, 旋风鸟, 斩波器, 贫民窟鸟, 钟形直升机, 警察直升机",飛機,直升機,"旋翼機, 旋風鳥, 斬波器, 貧民窟鳥, 鐘形直升機, 警察直升機"
AIRCRAFT,INTERIOR,AEROInt,"jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet",飞机,航空器,"喷射, 飞机, 客机, 滑翔机, 齐柏林飞艇, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车, 波音, 庞巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380, 战斗机",飛機,室內,"噴射, 飛機, 客機, 滑翔機, 齊柏林飛艇, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車, 波音, 龐巴迪, 737, 747, 777, A310, DC-10, A330, A350, A380, 戰鬥機"
AIRCRAFT,JET,AEROJet,"airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",航空器,喷气式飞机,"客机, 喷气客机, 大型喷气式飞机, 里尔喷气机, 空中客车公司, 波音公司, 庞巴迪公司, 737, 747, 777, A310, DC-10, A330, A350, A380",飛機,噴射機,"客機, 噴氣客機, 大型噴氣式飛機, 里爾噴氣機, 空中客車公司, 波音公司, 龐巴迪公司, 737, 747, 777, A310, DC-10, A330, A350, A380"
AIRCRAFT,MECHANISM,AEROMech,"landing gear, cockpit lever, rudder, flap, landing gear",航空器,机械,"起落架,驾驶舱操纵杆,方向舵,襟翼,起落架",飛機,機械構造,"起落架,駕駛艙操縱桿,方向舵,襟翼,起落架"
AIRCRAFT,MILITARY,AEROMil,"fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52",航空器,军用,"战斗机,轰炸机,隐形轰炸机,蓝天使,雷鸟,洛克希德,米格,F18,F16,F35,F22,A10,P52",飛機,軍用,"戰鬥機,轟炸機,隱形轟炸機,藍天使,雷鳥,洛克希德,米格,F18,F16,F35,F22,A10,P52"
